sessionID: 102
Game: GP2
gameID: P2
numPatches: 6
initialHerdSize: 10
numHH: 1
numYears: 1
numPhases: 2
hasChoosingShared?: true
hasChoosingPrivate?: false
hasForage?: false
maxPrivateSquares: 1
baseSquaresPerDay: 3
pS_base: 1
HpA_base: 1
dP_dHpA: 0.1
harvest_day: 60
dP_dfNeeds: 0.2
needsDays: 10
initialScore: 100
phaseLengthDays: 4
probDeathPoor: 0.6
probDeathOk: 0.2
probDeathGood: 0
grassR: 0.4
grassK: 200
grassE0: 5
showToggleButton: true
animalNeeds: 8
downThreshold: 0.6
upThreshold: 0.8
grassUndergroundFraction: 0.1
maxColorRain: 10
grass_1: 5
grass_2: 5
grass_3: 0
grass_4: 0
grass_5: 0
grass_6: 3
grass_7: 4
grass_8: 0
grass_9: 0
grass_10: 4
grass_11: 4
grass_12: 3
grass_13: 0
grass_14: 3
grass_15: 4
grass_16: 0
clim_1: 2
clim_2: 4
clim_3: 6
clim_4: 3
clim_5: 0
clim_6: 6
clim_7: 6
clim_8: 0
phase_1: P
phase_2: P
phase_3: P
phase_4: P
phase_5: P
phase_6: P
phase_7: P
phase_8: P

Choosing shared land at 10:42:14.021 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 4 5 at 10:47:34.104 AM 16-Oct-2021
Case 3.0 - Player 3 unselected patch 4 5 at 10:47:42.295 AM 16-Oct-2021
Case 3.0 - Player 3 selected patch 4 5 at 10:47:46.655 AM 16-Oct-2021
Case 3.0 - Player 2 unselected patch 4 5 at 10:47:47.413 AM 16-Oct-2021
Case 3.0 - Player 2 selected patch 4 5 at 10:47:48.487 AM 16-Oct-2021
Case 3.0 - Player 3 unselected patch 4 5 at 10:47:48.811 AM 16-Oct-2021
Case 3.0 - Player 3 selected patch 4 5 at 10:47:50.744 AM 16-Oct-2021
Case 3.0 - Player 2 unselected patch 4 5 at 10:47:51.159 AM 16-Oct-2021
Case 3.0 - Player 3 selected patch 4 5 at 10:47:55.003 AM 16-Oct-2021
Case 3.15 - Player 4 clicked confirm at 10:48:02.171 AM 16-Oct-2021
Case 3.15 - Player 1 clicked confirm at 10:48:03.993 AM 16-Oct-2021
Case 3.15 - Player 2 clicked confirm at 10:48:04.386 AM 16-Oct-2021
Case 3.15 - Player 3 clicked confirm at 10:48:07.075 AM 16-Oct-2021
Patch 5 3 shared
Patch 4 4 shared
Patch 5 2 shared
Patch 5 5 shared
Patch 4 2 shared
Patch 4 5 shared
Patch 5 4 shared
Patch 4 3 shared
Beginning pasture phases at 10:48:07.171 AM 16-Oct-2021
Case 3.5 - Player 3 viewing patch 3 1 at 10:48:59.554 AM 16-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:49:03.609 AM 16-Oct-2021
Case 3.5 - Player 2 viewing patch 5 4 at 10:49:04.396 AM 16-Oct-2021
Case 3.5 - Player 4 viewing patch 1 4 at 10:49:07.707 AM 16-Oct-2021
Case 3.5 - Player 1 viewing patch 3 2 at 10:49:08.358 AM 16-Oct-2021
Case 3.6 - Player 3 deactivating avatar at 10:49:09.784 AM 16-Oct-2021
Case 3.6 - Player 4 activating avatar at 10:49:09.959 AM 16-Oct-2021
Case 3.5 - Player 2 viewing patch 5 4 at 10:49:12.675 AM 16-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:49:14.317 AM 16-Oct-2021
Case 3.5 - Player 2 viewing patch 5 4 at 10:49:14.347 AM 16-Oct-2021
Case 3.10 - Player 3 assigned avatar to herd 1 at patch -3 3 at 10:49:15.723 AM 16-Oct-2021
Case 3.10 - Player 4 assigned avatar to herd 1 at patch -3 4 at 10:49:15.820 AM 16-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:49:15.829 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 1 at day 1 at 10:49:17.748 AM 16-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:49:19.179 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 2 at day 2 at 10:49:19.281 AM 16-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 1 at day 1 at 10:49:19.394 AM 16-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 1 at day 1 at 10:49:19.721 AM 16-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 2 at day 2 at 10:49:20.612 AM 16-Oct-2021
Case 3.14 - Player 2 selecting patch 2 5 to move to at 10:49:21.611 AM 16-Oct-2021
Case 3.6 - Player 1 deactivating avatar at 10:49:21.977 AM 16-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:49:23.751 AM 16-Oct-2021
Case 3.2 - Player 2 cancelled their own path to patch 2 5 at 10:49:30.715 AM 16-Oct-2021
Case 3.5 - Player 1 viewing patch 3 2 at 10:49:34.767 AM 16-Oct-2021
Case 3.5 - Player 1 viewing patch 3 2 at 10:49:36.846 AM 16-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 2 at day 2 at 10:50:04.282 AM 16-Oct-2021
Case 3.5 - Player 2 viewing patch 5 4 at 10:50:07.989 AM 16-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:50:13.712 AM 16-Oct-2021
Case 3.10 - Player 2 assigned avatar to herd 1 at patch -2 3 at 10:50:20.862 AM 16-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:50:25.824 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 1 at day 1 at 10:50:26.075 AM 16-Oct-2021
Case 3.6 - Player 1 deactivating avatar at 10:50:27.407 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 2 at day 2 at 10:50:27.411 AM 16-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:50:28.633 AM 16-Oct-2021
Case 3.14 - Player 2 selecting patch 2 5 to move to at 10:50:32.468 AM 16-Oct-2021
Case 3.6 - Player 1 deactivating avatar at 10:50:32.650 AM 16-Oct-2021
Case 3.14 - Player 3 selecting patch 2 1 to move to at 10:50:35.517 AM 16-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:50:35.523 AM 16-Oct-2021
Case 3.14 - Player 4 selecting patch 0 3 to move to at 10:50:35.981 AM 16-Oct-2021
Case 3.10 - Player 1 assigned avatar to herd 1 at patch -3 3 at 10:50:39.278 AM 16-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:50:39.286 AM 16-Oct-2021
Case 3.6 - Player 4 activating avatar at 10:50:40.100 AM 16-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:50:40.411 AM 16-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 1 at day 2 at 10:50:41.300 AM 16-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 1 at day 2 at 10:50:41.717 AM 16-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 2 at day 3 at 10:50:42.010 AM 16-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 2 at day 3 at 10:50:42.769 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 1 at day 3 at 10:50:42.855 AM 16-Oct-2021
Case 3.14 - Player 4 selecting patch 1 2 to move to at 10:50:44.028 AM 16-Oct-2021
Case 3.14 - Player 3 selecting patch 1 1 to move to at 10:50:44.833 AM 16-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 1 at day 1 at 10:50:45.831 AM 16-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:50:47.041 AM 16-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 2 at day 2 at 10:50:47.217 AM 16-Oct-2021
Case 3.6 - Player 4 activating avatar at 10:50:47.242 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 2 at day 4 at 10:50:47.725 AM 16-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 1 at day 3 at 10:50:48.207 AM 16-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 1 at day 3 at 10:50:48.324 AM 16-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 2 at day 4 at 10:50:49.042 AM 16-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 2 at day 4 at 10:50:49.158 AM 16-Oct-2021
Case 3.14 - Player 4 selecting patch 2 3 to move to at 10:50:51.019 AM 16-Oct-2021
Case 3.14 - Player 3 selecting patch 1 0 to move to at 10:50:51.754 AM 16-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:50:54.004 AM 16-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 1 at day 4 at 10:50:55.012 AM 16-Oct-2021
Case 3.6 - Player 4 activating avatar at 10:50:55.044 AM 16-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 2 at day 5 at 10:50:56.018 AM 16-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 1 at day 4 at 10:50:57.278 AM 16-Oct-2021
Case 3.14 - Player 3 selecting patch 2 0 to move to at 10:50:57.417 AM 16-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 2 at day 5 at 10:50:58.309 AM 16-Oct-2021
Case 3.14 - Player 4 selecting patch 3 4 to move to at 10:51:01.289 AM 16-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:51:01.294 AM 16-Oct-2021
Case 3.14 - Player 1 selecting patch 3 4 to move to at 10:51:01.428 AM 16-Oct-2021
Case 3.2 - Player 2 cancelled their own path to patch 2 5 at 10:51:02.386 AM 16-Oct-2021
Case 3.15 - Player 3 clicked confirm at 10:51:05.556 AM 16-Oct-2021
Case 3.15 - Player 4 clicked confirm at 10:51:06.506 AM 16-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:51:08.561 AM 16-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 1 at day 2 at 10:51:10.199 AM 16-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 2 at day 3 at 10:51:11.210 AM 16-Oct-2021
Case 3.14 - Player 1 selecting patch 2 4 to move to at 10:51:14.887 AM 16-Oct-2021
Case 3.5 - Player 2 viewing patch 5 4 at 10:51:14.949 AM 16-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:51:17.093 AM 16-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 1 at day 3 at 10:51:18.409 AM 16-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 2 at day 4 at 10:51:19.635 AM 16-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:51:20.660 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 1 at day 1 at 10:51:22.726 AM 16-Oct-2021
Case 3.14 - Player 1 selecting patch 2 5 to move to at 10:51:23.380 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 2 at day 2 at 10:51:23.858 AM 16-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:51:25.917 AM 16-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 1 at day 4 at 10:51:27.079 AM 16-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 2 at day 5 at 10:51:27.859 AM 16-Oct-2021
Case 3.14 - Player 2 selecting patch 1 5 to move to at 10:51:28.174 AM 16-Oct-2021
Case 3.14 - Player 1 selecting patch 0 5 to move to at 10:51:29.809 AM 16-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:51:31.555 AM 16-Oct-2021
Case 3.15 - Player 1 clicked confirm at 10:51:34.217 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 1 at day 3 at 10:51:34.748 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 2 at day 4 at 10:51:36.295 AM 16-Oct-2021
Case 3.14 - Player 2 selecting patch 0 4 to move to at 10:51:40.356 AM 16-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:51:43.590 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 1 at day 4 at 10:51:45.233 AM 16-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 2 at day 5 at 10:51:46.364 AM 16-Oct-2021
Case 3.14 - Player 2 selecting patch 0 2 to move to at 10:51:49.134 AM 16-Oct-2021
Case 3.15 - Player 2 clicked confirm at 10:51:54.341 AM 16-Oct-2021
Updating pastures at 10:51:54.358 AM 16-Oct-2021
Person 149 for Player 1 has schedule [2 2 2 2]
Person 182 for Player 4 has schedule [2 2 2 2]
Person 160 for Player 2 has schedule [2 2 2 2]
Person 171 for Player 3 has schedule [2 2 2 2]
Person 149 for Player 1 is at patch 3 4 and has schedule [2 2 2 2]
Person 171 for Player 3 is at patch 2 1 and has schedule [2 2 2 2]
Person 160 for Player 2 is at patch 3 4 and has schedule [2 2 2 2]
Person 182 for Player 4 is at patch 0 3 and has schedule [2 2 2 2]
Person 182 for Player 4 is at patch 1 2 and has schedule [2 2 2 2]
Person 171 for Player 3 is at patch 1 1 and has schedule [2 2 2 2]
Person 149 for Player 1 is at patch 2 4 and has schedule [2 2 2 2]
Person 160 for Player 2 is at patch 1 5 and has schedule [2 2 2 2]
Person 182 for Player 4 is at patch 2 3 and has schedule [2 2 2 2]
