sessionID: 203
Game: GP2
gameID: P2
numPatches: 6
initialHerdSize: 10
numHH: 1
numYears: 1
numPhases: 2
hasChoosingShared?: true
hasChoosingPrivate?: false
hasForage?: false
maxPrivateSquares: 1
baseSquaresPerDay: 3
pS_base: 1
HpA_base: 1
dP_dHpA: 0.1
harvest_day: 60
dP_dfNeeds: 0.2
needsDays: 10
initialScore: 100
phaseLengthDays: 4
probDeathPoor: 0.6
probDeathOk: 0.2
probDeathGood: 0
grassR: 0.4
grassK: 200
grassE0: 5
showToggleButton: true
animalNeeds: 8
downThreshold: 0.6
upThreshold: 0.8
grassUndergroundFraction: 0.1
maxColorRain: 10
grass_1: 5
grass_2: 5
grass_3: 0
grass_4: 0
grass_5: 0
grass_6: 3
grass_7: 4
grass_8: 0
grass_9: 0
grass_10: 4
grass_11: 4
grass_12: 3
grass_13: 0
grass_14: 3
grass_15: 4
grass_16: 0
clim_1: 2
clim_2: 4
clim_3: 6
clim_4: 3
clim_5: 0
clim_6: 6
clim_7: 6
clim_8: 0
phase_1: P
phase_2: P
phase_3: P
phase_4: P
phase_5: P
phase_6: P
phase_7: P
phase_8: P

Choosing shared land at 10:29:25.654 AM 18-Oct-2021
Case 3.4 - Player 2 denied Player 1's  path to patch 5 3 at 10:33:31.865 AM 18-Oct-2021
Case 3.5 - Player 1 viewing patch 3 0 at 10:33:38.127 AM 18-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:33:38.994 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 1 at day 1 at 10:33:39.996 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 2 at day 2 at 10:33:40.036 AM 18-Oct-2021
Case 3.14 - Player 1 selecting patch 5 3 to move to at 10:33:41.941 AM 18-Oct-2021
Case 3.4 - Player 3 denied Player 1's  path to patch 5 3 at 10:33:55.467 AM 18-Oct-2021
Case 3.6 - Player 4 deactivating avatar at 10:34:12.420 AM 18-Oct-2021
Case 3.6 - Player 4 activating avatar at 10:34:14.442 AM 18-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 1 at day 1 at 10:34:15.516 AM 18-Oct-2021
Case 3.5 - Player 1 viewing patch 4 0 at 10:34:15.545 AM 18-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:34:19.001 AM 18-Oct-2021
Case 3.5 - Player 1 viewing patch 4 0 at 10:34:19.223 AM 18-Oct-2021
Case 3.5 - Player 3 viewing patch 2 3 at 10:34:21.876 AM 18-Oct-2021
Case 3.10 - Player 2 assigned avatar to herd 1 at patch -3 4 at 10:34:23.630 AM 18-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:34:24.784 AM 18-Oct-2021
Case 3.5 - Player 1 viewing patch 3 0 at 10:34:24.881 AM 18-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 1 at day 1 at 10:34:26.063 AM 18-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 2 at day 2 at 10:34:27.801 AM 18-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:34:28.439 AM 18-Oct-2021
Case 3.6 - Player 3 deactivating avatar at 10:34:28.647 AM 18-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:34:30.370 AM 18-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 2 at day 2 at 10:34:31.207 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 1 at day 1 at 10:34:33.271 AM 18-Oct-2021
Case 3.10 - Player 3 assigned avatar to herd 1 at patch -2 4 at 10:34:33.470 AM 18-Oct-2021
Case 3.14 - Player 2 selecting patch 0 5 to move to at 10:34:33.887 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 2 at day 2 at 10:34:36.538 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 1 at day 1 at 10:34:37.437 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 2 at day 2 at 10:34:38.890 AM 18-Oct-2021
Case 3.2 - Player 2 cancelled their own path to patch 0 5 at 10:34:39.006 AM 18-Oct-2021
Case 3.14 - Player 4 selecting patch 1 4 to move to at 10:34:41.501 AM 18-Oct-2021
Case 3.14 - Player 3 selecting patch 5 3 to move to at 10:34:43.244 AM 18-Oct-2021
Case 3.5 - Player 2 viewing patch 2 0 at 10:34:43.316 AM 18-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:34:44.811 AM 18-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 1 at day 1 at 10:34:46.187 AM 18-Oct-2021
Case 3.6 - Player 4 activating avatar at 10:34:47.005 AM 18-Oct-2021
Case 3.5 - Player 2 viewing patch 0 0 at 10:34:49.053 AM 18-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 1 at day 2 at 10:34:49.227 AM 18-Oct-2021
Case 3.5 - Player 2 viewing patch 2 0 at 10:34:52.027 AM 18-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:34:53.831 AM 18-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 2 at day 2 at 10:34:56.288 AM 18-Oct-2021
Case 3.4 - Player 1 denied Player 3's  path to patch 5 3 at 10:34:58.232 AM 18-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 2 at day 3 at 10:35:01.250 AM 18-Oct-2021
Case 3.5 - Player 3 viewing patch 2 3 at 10:35:03.972 AM 18-Oct-2021
Case 3.14 - Player 4 selecting patch 1 3 to move to at 10:35:06.412 AM 18-Oct-2021
Case 3.14 - Player 2 selecting patch 1 1 to move to at 10:35:07.607 AM 18-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:35:08.529 AM 18-Oct-2021
